Entity,Code,Year,Share of male adults who smoke or use tobacco (age-standardized)
Afghanistan,AFG,2000,58.6
Afghanistan,AFG,2005,53.1
Afghanistan,AFG,2007,51
Afghanistan,AFG,2010,48.3
Afghanistan,AFG,2015,43.8
Afghanistan,AFG,2020,40
Afghanistan,AFG,2021,39.3
Afghanistan,AFG,2022,38.7
Africa,,2000,31.470354
Africa,,2005,28.150106
Africa,,2007,27.020191
Africa,,2010,25.423079
Africa,,2015,23.20449
Africa,,2020,21.395023
Africa,,2021,21.07118
Africa,,2022,20.765821
Albania,ALB,2000,59.6
Albania,ALB,2005,53.6
Albania,ALB,2007,51.3
Albania,ALB,2010,48.3
Albania,ALB,2015,43.5
Albania,ALB,2020,39.5
Albania,ALB,2021,38.5
Albania,ALB,2022,37.8
Algeria,DZA,2000,43.9
Algeria,DZA,2005,43.1
Algeria,DZA,2007,43
Algeria,DZA,2010,42.3
Algeria,DZA,2015,41.7
Algeria,DZA,2020,41.7
Algeria,DZA,2021,41.7
Algeria,DZA,2022,41.8
Andorra,AND,2000,43.6
Andorra,AND,2005,41.3
Andorra,AND,2007,40.4
Andorra,AND,2010,39.2
Andorra,AND,2015,37.2
Andorra,AND,2020,35.3
Andorra,AND,2021,35
Andorra,AND,2022,34.8
Argentina,ARG,2000,40
Argentina,ARG,2005,37.2
Argentina,ARG,2007,35.9
Argentina,ARG,2010,34.2
Argentina,ARG,2015,31.8
Argentina,ARG,2020,29.5
Argentina,ARG,2021,28.9
Argentina,ARG,2022,28.5
Armenia,ARM,2000,62.6
Armenia,ARM,2005,59.3
Armenia,ARM,2007,57.8
Armenia,ARM,2010,55.6
Armenia,ARM,2015,52.6
Armenia,ARM,2020,49.9
Armenia,ARM,2021,49
Armenia,ARM,2022,48.2
Asia,,2000,58.328926
Asia,,2005,54.15796
Asia,,2007,52.365013
Asia,,2010,50.042446
Asia,,2015,46.383522
Asia,,2020,43.21374
Asia,,2021,42.528614
Asia,,2022,42.01713
Australia,AUS,2000,26.5
Australia,AUS,2005,23.4
Australia,AUS,2007,22.2
Australia,AUS,2010,20.6
Australia,AUS,2015,18.1
Australia,AUS,2020,15.9
Australia,AUS,2021,15.6
Australia,AUS,2022,15.2
Austria,AUT,2000,58
Austria,AUT,2005,48.2
Austria,AUT,2007,44.7
Austria,AUT,2010,39.9
Austria,AUT,2015,33.3
Austria,AUT,2020,27.6
Austria,AUT,2021,26.7
Austria,AUT,2022,25.8
Azerbaijan,AZE,2000,57.3
Azerbaijan,AZE,2005,52
Azerbaijan,AZE,2007,50.2
Azerbaijan,AZE,2010,47.7
Azerbaijan,AZE,2015,43.8
Azerbaijan,AZE,2020,40.2
Azerbaijan,AZE,2021,39.6
Azerbaijan,AZE,2022,39
Bahamas,BHS,2000,19.4
Bahamas,BHS,2005,19.5
Bahamas,BHS,2007,19.5
Bahamas,BHS,2010,19.6
Bahamas,BHS,2015,20
Bahamas,BHS,2020,20.3
Bahamas,BHS,2021,20.3
Bahamas,BHS,2022,20.5
Bahrain,BHR,2000,36.4
Bahrain,BHR,2005,33.2
Bahrain,BHR,2007,32.2
Bahrain,BHR,2010,30.4
Bahrain,BHR,2015,28
Bahrain,BHR,2020,25.6
Bahrain,BHR,2021,25.3
Bahrain,BHR,2022,25
Bangladesh,BGD,2000,67.5
Bangladesh,BGD,2005,63.1
Bangladesh,BGD,2007,61.6
Bangladesh,BGD,2010,59.2
Bangladesh,BGD,2015,55.5
Bangladesh,BGD,2020,51.7
Bangladesh,BGD,2021,51.3
Bangladesh,BGD,2022,50.5
Barbados,BRB,2000,15.3
Barbados,BRB,2005,14.5
Barbados,BRB,2007,14.1
Barbados,BRB,2010,13.7
Barbados,BRB,2015,13
Barbados,BRB,2020,12.4
Barbados,BRB,2021,12.2
Barbados,BRB,2022,12.2
Belarus,BLR,2000,70
Belarus,BLR,2005,63.9
Belarus,BLR,2007,61.6
Belarus,BLR,2010,58
Belarus,BLR,2015,52.5
Belarus,BLR,2020,48.2
Belarus,BLR,2021,47.2
Belarus,BLR,2022,46.3
Belgium,BEL,2000,37.4
Belgium,BEL,2005,35.3
Belgium,BEL,2007,34.5
Belgium,BEL,2010,33.3
Belgium,BEL,2015,31.5
Belgium,BEL,2020,29.8
Belgium,BEL,2021,29.5
Belgium,BEL,2022,29
Belize,BLZ,2000,24.3
Belize,BLZ,2005,21.8
Belize,BLZ,2007,21
Belize,BLZ,2010,19.6
Belize,BLZ,2015,17.7
Belize,BLZ,2020,16.2
Belize,BLZ,2021,16
Belize,BLZ,2022,15.6
Benin,BEN,2000,30.3
Benin,BEN,2005,23.7
Benin,BEN,2007,21.6
Benin,BEN,2010,18.7
Benin,BEN,2015,14.7
Benin,BEN,2020,11.7
Benin,BEN,2021,11.2
Benin,BEN,2022,10.7
Bhutan,BTN,2000,36.5
Bhutan,BTN,2005,33.4
Bhutan,BTN,2007,32.6
Bhutan,BTN,2010,31.1
Bhutan,BTN,2015,28.8
Bhutan,BTN,2020,27
Bhutan,BTN,2021,26.5
Bhutan,BTN,2022,26.2
Bolivia,BOL,2000,41.1
Bolivia,BOL,2005,34.8
Bolivia,BOL,2007,32.5
Bolivia,BOL,2010,29.5
Bolivia,BOL,2015,25.2
Bolivia,BOL,2020,21.9
Bolivia,BOL,2021,21.1
Bolivia,BOL,2022,20.6
Bosnia and Herzegovina,BIH,2000,59.2
Bosnia and Herzegovina,BIH,2005,53.9
Bosnia and Herzegovina,BIH,2007,52.2
Bosnia and Herzegovina,BIH,2010,49.7
Bosnia and Herzegovina,BIH,2015,45.9
Bosnia and Herzegovina,BIH,2020,42.6
Bosnia and Herzegovina,BIH,2021,42
Bosnia and Herzegovina,BIH,2022,41.6
Botswana,BWA,2000,40.3
Botswana,BWA,2005,37.5
Botswana,BWA,2007,36.6
Botswana,BWA,2010,35.3
Botswana,BWA,2015,33
Botswana,BWA,2020,31
Botswana,BWA,2021,30.5
Botswana,BWA,2022,30.2
Brazil,BRA,2000,29.4
Brazil,BRA,2005,25.3
Brazil,BRA,2007,23.6
Brazil,BRA,2010,21.7
Brazil,BRA,2015,18.7
Brazil,BRA,2020,16.3
Brazil,BRA,2021,15.8
Brazil,BRA,2022,15.4
Brunei,BRN,2000,29.3
Brunei,BRN,2005,29.4
Brunei,BRN,2007,29.5
Brunei,BRN,2010,29.5
Brunei,BRN,2015,30
Brunei,BRN,2020,30.4
Brunei,BRN,2021,30.5
Brunei,BRN,2022,30.7
Bulgaria,BGR,2000,59.1
Bulgaria,BGR,2005,53.8
Bulgaria,BGR,2007,52
Bulgaria,BGR,2010,49.4
Bulgaria,BGR,2015,45.3
Bulgaria,BGR,2020,41.8
Bulgaria,BGR,2021,41.1
Bulgaria,BGR,2022,40.3
Burkina Faso,BFA,2000,36.8
Burkina Faso,BFA,2005,32.7
Burkina Faso,BFA,2007,31.4
Burkina Faso,BFA,2010,29
Burkina Faso,BFA,2015,26
Burkina Faso,BFA,2020,23.4
Burkina Faso,BFA,2021,23
Burkina Faso,BFA,2022,22.5
Burundi,BDI,2000,32.6
Burundi,BDI,2005,27.6
Burundi,BDI,2007,26.2
Burundi,BDI,2010,23.9
Burundi,BDI,2015,20.6
Burundi,BDI,2020,18.1
Burundi,BDI,2021,17.6
Burundi,BDI,2022,17.1
Cambodia,KHM,2000,60.5
Cambodia,KHM,2005,51.9
Cambodia,KHM,2007,48.1
Cambodia,KHM,2010,43.6
Cambodia,KHM,2015,36.5
Cambodia,KHM,2020,30.6
Cambodia,KHM,2021,29.8
Cambodia,KHM,2022,28.7
Cameroon,CMR,2000,27
Cameroon,CMR,2005,22.1
Cameroon,CMR,2007,20.4
Cameroon,CMR,2010,18.2
Cameroon,CMR,2015,15
Cameroon,CMR,2020,12.5
Cameroon,CMR,2021,12.1
Cameroon,CMR,2022,11.7
Canada,CAN,2000,30.7
Canada,CAN,2005,25.8
Canada,CAN,2007,23.9
Canada,CAN,2010,21.6
Canada,CAN,2015,18.2
Canada,CAN,2020,15.3
